train_id,source,destination,current_station,next_station,distance_remaining,speed,current_delay,rain,hour,day,travel_time
TR00001,Mumbai,Pune,Kalyan,Lonavala,129,67.6,15,2,17,3,151.3
TR00002,Mumbai,Pune,Dadar,Thane,185,79.9,3,0,6,3,142.9
TR00003,Pune,Mumbai,Thane,Dadar,153,64.7,4,0,11,6,144.2
TR00004,Mumbai,Pune,Lonavala,Pune,64.5,77,10,0,20,2,66.3
TR00005,Mumbai,Pune,Kalyan,Lonavala,129,64.8,12,0,17,3,130.4
TR00006,Pune,Mumbai,Lonavala,Kalyan,64.5,61.2,8,1,22,2,73.8
TR00007,Pune,Mumbai,Pune,Lonavala,0,71.1,1,0,14,4,5
TR00008,Mumbai,Pune,Kalyan,Lonavala,129,59.6,3,0,19,3,137.6
TR00009,Mumbai,Pune,Thane,Kalyan,153,73.6,10,0,6,4,137.7
TR00010,Mumbai,Pune,Mumbai,Dadar,203,70.9,4,0,7,6,182.8
TR00011,Pune,Mumbai,Pune,Lonavala,0,67.6,18,0,10,3,9.6
TR00012,Mumbai,Pune,Lonavala,Pune,64.5,64.3,8,2,23,2,75
TR00013,Mumbai,Pune,Thane,Kalyan,153,63.4,24,1,13,2,178.7
TR00014,Pune,Mumbai,Dadar,Mumbai,185,67.2,5,0,11,3,166.7
TR00015,Mumbai,Pune,Mumbai,Dadar,203,70.9,4,0,7,6,182.8
TR00016,Pune,Mumbai,Kalyan,Thane,129,64.8,3,0,13,1,103.4
TR00017,Mumbai,Pune,Dadar,Thane,185,67.2,5,0,11,3,166.7
TR00018,Mumbai,Pune,Thane,Kalyan,153,59.4,11,1,11,1,167.5
TR00019,Pune,Mumbai,Thane,Dadar,153,67.1,9,0,20,2,149.6
TR00020,Pune,Mumbai,Pune,Lonavala,0,76.3,7,0,6,5,7.7
TR00021,Pune,Mumbai,Dadar,Mumbai,185,71,3,0,20,3,163.8
TR00022,Pune,Mumbai,Dadar,Mumbai,185,77.2,11,0,17,6,160.6
TR00023,Pune,Mumbai,Thane,Dadar,153,68.3,12,1,17,0,155.9
TR00024,Pune,Mumbai,Thane,Dadar,153,73.4,10,0,8,1,135.8
TR00025,Pune,Mumbai,Kalyan,Thane,129,78.4,9,0,16,0,123
TR00026,Mumbai,Pune,Thane,Kalyan,185,60.4,9,1,23,6,195.9
TR00027,Mumbai,Pune,Thane,Kalyan,153,54.4,12,0,18,5,181.4
TR00028,Pune,Mumbai,Pune,Lonavala,0,60.6,12,0,17,6,10.5
TR00029,Mumbai,Pune,Lonavala,Pune,64.5,57.8,19,1,9,0,94.6
TR00030,Pune,Mumbai,Thane,Dadar,153,79.2,8,0,6,1,118.5
TR00031,Pune,Mumbai,Kalyan,Thane,129,71.2,9,1,15,5,126.2
TR00032,Mumbai,Pune,Mumbai,Dadar,203,81.7,6,0,23,0,159.8
TR00033,Mumbai,Pune,Dadar,Thane,185,68.3,9,0,6,4,170.2
TR00034,Mumbai,Pune,Lonavala,Pune,64.5,65,9,0,21,3,65.2
TR00035,Mumbai,Pune,Lonavala,Pune,64.5,77.6,27,0,18,5,77.1
TR00036,Pune,Mumbai,Kalyan,Thane,129,80.1,3,0,13,1,103.4
TR00037,Pune,Mumbai,Pune,Lonavala,0,67.7,14,2,10,1,14.2
TR00038,Pune,Mumbai,Thane,Dadar,153,78.4,9,0,16,0,123
TR00039,Mumbai,Pune,Dadar,Thane,185,60.4,9,1,23,6,195.9
